spearman_r,mae,r2,method
0.822201320361373,0.3989520072937011,0.6753617525100708,CNN
0.8218634481506304,0.3991516530513763,0.6748499870300293,CNN
0.8222309868677258,0.3989037871360779,0.6753495335578918,CNN
0.8221592718994324,0.3988039791584015,0.6753734350204468,CNN
0.8218052213144048,0.3991701900959015,0.6747509241104126,CNN
0.8220875772801197,0.3990364670753479,0.6750167608261108,CNN
0.8220687880553705,0.39898481965065,0.6750895977020264,CNN
0.821853633586109,0.3991601765155792,0.6748809814453125,CNN
0.8222642622354855,0.3990016281604767,0.6754302382469177,CNN
0.8222770706351143,0.398890882730484,0.6753820180892944,CNN
0.8222924021681043,0.3990175127983093,0.6754336357116699,CNN
0.8220514462056024,0.3990234732627868,0.6750786304473877,CNN
0.8221630872723992,0.3988941013813019,0.6752422451972961,CNN
0.8221659717827853,0.398748904466629,0.6754215955734253,CNN
0.8222181367967506,0.3990235924720764,0.6754100322723389,CNN
0.8221188765080383,0.398957222700119,0.675242006778717,CNN
0.8223831126919268,0.3988258242607116,0.6755819916725159,CNN
0.8222099057268583,0.3990438878536224,0.6753284931182861,CNN
0.822109677498087,0.399002194404602,0.6750357151031494,CNN
0.822188542752605,0.3989007771015167,0.6754670143127441,CNN
0.8222522025237962,0.3988237380981445,0.6754207611083984,CNN
0.8222369731875655,0.3990184366703033,0.6751881241798401,CNN
0.82227709980692,0.3989267349243164,0.6754574775695801,CNN
-0.0001105629735002,1.1208670139312744,-1.0009667873382568,Random
0.0001959885694524,1.1206616163253784,-1.0002474784851074,Random
-0.0001365694257795,1.1206060647964478,-1.0005488395690918,Random
-0.0005547084061231,1.1209964752197266,-1.0016026496887207,Random
-0.0001269776454055,1.1209473609924316,-1.001559495925903,Random
9.584094466951456e-05,1.1208293437957764,-1.0002937316894531,Random
0.0001389458428013,1.1204440593719482,-0.9998620748519896,Random
-5.3558444483647504e-05,1.1209005117416382,-0.999305248260498,Random
0.0004169401840104,1.120794415473938,-1.000663995742798,Random
0.0002312447487069,1.1206259727478027,-0.9993510246276855,Random
-0.0004361312746757,1.1211111545562744,-1.0005106925964355,Random
0.0004201482717543,1.120365023612976,-0.9997739791870116,Random
-0.0003308025552459,1.12080180644989,-1.0006251335144043,Random
-0.0005198218060486,1.121264100074768,-1.0007612705230713,Random
0.0005131614372716,1.1205016374588013,-0.9987173080444336,Random
